order_id,customer_name,amount,order_date,status,phone
1001,张三,250.5,2024-01-15,completed,13800138001
1002,李四,,2024-01-16,pending,13900139002
1003,王五,180.0,2024-01-17,,13700137003
1004,赵六,320.75,2024-01-18,completed,13600136004
1005,张三,250.5,2024-01-15,completed,13800138001
1006,孙七,,2024-01-20,cancelled,
1007,周八,450.0,,pending,13500135005
1008,吴九,999999.99,2024-01-22,completed,13400134006
1009,郑十,0.01,2024-01-23,pending,13300133007
1010,陈十一,67.8,,completed,
1011,,500.0,2024-01-25,completed,13200132008
1012,高二二,888.0,,,13100131009
